Universities,Country
University of Texas Rio Grande Valley,United States
University of Reading,United States
University of Antwerp,Belgium
University of Arkansas,United States
Kiel University and University of Amsterdam,Netherlands
University of Miami,United States
Imperial College London,United Kingdom
The University of Hong Kong,China
Shanghai Normal University,China
Texas A&M University,United States
Ghent University,Belgium
Stevens Institute of Technology,United States
University of Texas at Dallas,United States
University of Nebraska–Lincoln,United States
Tilburg University,Netherlands
Eastern Michigan University,United States
Louisiana State University,United States
Soochow University,Taiwan
University of Virginia,United States
University of Nebraska,United States
Université du Québec à Montréal,Canada
Hebei University of Technology,China
University of North Carolina,United States
University of Windsor,Canada
University of Wisconsin-Madison,United States
Renmin University of China,China
University of St.Gallen,Switzerland
University of Alabama,United States
Michigan State University,United States
University of Connecticut,United States
University of Arizona,United States
(Late of) Imperial College,
Canterbury Christ Church University,United Kingdom
Morgan State University,United States
University of Kentucky,United States
University of Oregon,United States
Rutgers University,United States
Northern Illinois University,United States
Iowa State University,United States
Arizona State University,United States
Google LLC,United States
King’s College London,United Kingdom
University of Toronto,Canada
"University at Albany, State University of New York",United States
HEC Paris,France
Universidade Católica Portuguesa,Portugal
University of Massachusetts at Boston,
Lehigh University,United States
Pontificia Universidad Católica de Chile,Chile
Northwestern University,United States
National University of Singapore,Singapore
IESEG School of Management,France
Victoria University of Wellington,New Zealand / Aotearoa
Boise State University,United States
Brigham Young University,United States
Louisiana Tech University,United States
KU Leuven,Belgium
"Kenan-Flagler Business School, University of North Carolina at Chapel Hill",
Universidade Nova de Lisboa,Portugal
Pennsylvania State University,United States
Shanghai University of Finance and Economics,China
Curtin University,Australia
Pepperdine University,United Kingdom
University of Washington,United States
Miami University,United States
Auburn University,United States
University of Aberdeen,United Kingdom
The University of Melbourne,Australia
University of Giessen,
Old Dominion University,United States
University of Calgary,Canada
Texas Christian University,United States
Fordham University,United States
University of Texas at Arlington,United States
"Department of Management Science and Engineering, Stanford University",
Northumbria University,United Kingdom
INSEAD,France
The George Washington University,United States
University of Chicago,United States
Portland State University,United States
University of Memphis,United States
Case Western Reserve University,United States
University of Florida,United States
Drexel University,United States
University of Central Florida,United States
ESCP Business School,Deutschland
Indiana University,United States
University of Notre Dame,United States
HEC Montréal,Canada
University of Toulouse 1 Capitole,France
Virginia Commonwealth University,United States
University of British Columbia,Canada
Erasmus University,Netherlands
University of Houston,United States
Temple University,United States
Northeastern University and Universitat Ramon Llull,
City University of London and University of St. Gallen,
Bocconi University,Italy
University of Macau,China
University of Passau,Germany
Heinrich-Heine-University Düsseldorf,Germany
Colorado State University,United States
Deakin University,Australia
Kyungpook National University,South Korea
Western University,South Korea
Ecole Polytechnique Fédérale de Lausanne,Switzerland
Peking University,China
Spencer Stuart International,
Memorial University of Newfoundland,Canada
Simon Fraser University,Canada
Purdue University,United States
United Arab Emirates University,United Arab Emirates
The Ohio State University,United States
Queen’s University,Canada
University of Iowa,United States
Bielefeld University,Germany
Ohio State University,United States
Católica Porto Business School,
Northeastern University,United States
University of Queensland,Australia
Imperial College Business School,United Kingdom
Rice University,United States
Washington University in St. Louis,United States
University of Massachusetts Lowell,United States
"Strategy Area, INSEAD",
London Business School,United Kingdom
Florida State University,United States
North Carolina State University,United States
Baruch College-City University of New York,United States
University of Missouri,United States
Southern Methodist University,United States
Rutgers University-Camden,United States
Villanova University,United States
Singapore Management University,Singapore
Florida Gulf Coast University,United States
University of Utah,United States
University of Amsterdam,Netherlands
University of South Carolina,United States
West Texas A&M University,United States
LUISS Guido Carli University,Italy
"Católica Porto Business School, and Instituto Universitário de Lisboa (ISCTE-IUL)",Spain
Tongji University,China
University of Michigan,United States
Southwestern University of Finance and Economics,China
University of Tennessee,United States
(Late of) Imperial College Business School,
Australian Catholic University,Australia
James Madison University,United States
University of Melbourne,Australia
Universidad de Navarra,Spain
Concordia University,Canada
New York University,United States
Hunan University,China
San Diego State University,United States
American University of Beirut,Lebanon
Nanyang Technological University,Singapore
University of Granada,Spain
Suffolk University,United States
University of Massachusetts Amherst,United States
University of Konstanz,Germany
University of Mississippi,United States
University of St. Andrews,United Kingdom
University College London,United Kingdom
Pontifícia Universidade Católica do Rio de Janeiro,Brasil
York University,Canada
Virginia Tech,United States
University of Minnesota,United States
"City, University of London",United Kingdom
California Polytechnic State University,United States
